Year,Units,Series,sex,federal state,GeoCode,Value
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,67.5
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.8
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.2
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.7
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.5
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.1
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.8
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.0
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,29.6
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.2
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,32.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.1
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.0
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.2
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.2
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.0
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.5
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.5
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.1
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.8
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.6
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.0
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.9
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.0
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.0
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.7
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.2
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.1
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.9
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.5
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.5
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.1
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.0
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.7
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,32.0
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,36.7
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.7
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.5
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.0
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.7
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.1
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.9
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.7
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.1
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.9
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.3
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.7
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.3
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.2
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.1
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.4
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.1
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.9
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.6
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.5
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.2
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,31.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.7
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,35.0
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.0
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.2
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.5
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.0
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.9
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.0
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.1
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.4
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.6
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.8
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.6
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,62.9
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.4
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.4
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.7
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.0
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.4
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.8
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.6
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.0
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,30.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,34.4
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.3
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.4
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.4
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.5
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.3
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.6
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.0
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.0
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.2
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.5
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.1
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.6
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.9
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.3
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.7
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.4
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.3
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.3
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.4
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.9
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.0
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.5
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.5
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,28.9
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,34.1
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.5
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.6
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.2
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.2
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.9
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.2
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.9
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.7
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.8
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.6
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.7
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.1
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.2
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.7
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.8
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.0
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.7
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,31.8
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.2
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.8
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.2
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.8
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.1
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.3
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.0
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.4
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.8
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.3
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.0
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.5
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,62.5
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.9
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,35.6
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.3
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.8
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.1
