Year,Units,Series,federal state,GeoCode,county,Value
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,4.666
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,5.52
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,6.116
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,6.91
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,7.57
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,8.992
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,9.744
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,9.822
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,9.742
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,9.944
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,10.293
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,10.578
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05,,10.702
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,2.629
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,3.225
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,3.993
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,5.185
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,6.875
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,9.211
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,11.694
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,12.664
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,14.226
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,14.859
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.336
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.674
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.84
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,16.171
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,16.259
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.518
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,17.206
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,2.629
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,3.225
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,3.993
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,5.185
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,6.875
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,9.211
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,11.694
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,12.664
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,14.226
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,14.859
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.336
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.674
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.84
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,16.171
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,16.259
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07,,15.518
2006,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,3.769
2007,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,4.517
2008,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,5.781
2009,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,7.439
2010,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,9.48
2011,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,11.485
2012,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,13.518
2013,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,16.241
2014,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,18.705
2015,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.474
2016,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.937
2017,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.71
2018,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.935
2019,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,23.089
2020,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,23.26
2021,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,23.528
2022,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,25.536
2006,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,3.769
2007,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,4.517
2008,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,5.781
2009,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,7.439
2010,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,9.48
2011,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,11.485
2012,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,13.518
2013,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,16.241
2014,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,18.705
2015,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.474
2016,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.937
2017,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.71
2018,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,21.935
2019,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,23.089
2020,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,23.26
2021,percentage,all-day care provision for 0 to 2-year-old children,saarland,code10,,23.528
2006,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,20.065
2007,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,21.184
2008,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,22.567
2009,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,25.723
2010,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,29.044
2011,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,30.311
2012,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,31.885
2013,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,32.648
2014,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,34.79
2015,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,35.788
2016,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,36.374
2017,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,36.689
2018,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,37.368
2019,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,38.65
2020,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,39.416
2021,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,38.567
2022,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,40.126
2006,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,20.065
2007,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,21.184
2008,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,22.567
2009,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,25.723
2010,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,29.044
2011,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,30.311
2012,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,31.885
2013,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,32.648
2014,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,34.79
2015,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,35.788
2016,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,36.374
2017,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,36.689
2018,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,37.368
2019,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,38.65
2020,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,39.416
2021,percentage,all-day care provision for 0 to 2-year-old children,saxony,code14,,38.567
2006,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,26.363
2007,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,28.061
2008,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,28.501
2009,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,31.387
2010,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,33.677
2011,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,35.034
2012,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,36.914
2013,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,38.066
2014,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,46.033
2015,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,45.533
2016,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,45.069
2017,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,45.406
2018,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,45.65
2019,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,46.938
2020,percentage,all-day care provision for 0 to 2-year-old children,saxony-anhalt,code15,,47.338
